Category,Section_Type,Designation,Depth_mm,Width_mm,Thickness_mm,Weight_kg_per_m
Beam,ISMB,ISMB100,100,50,,20
Beam,ISMB,ISMB125,125,62,,25
Beam,ISMB,ISMB150,150,75,,30
Beam,ISMB,ISMB175,175,87,,35
Beam,ISMB,ISMB200,200,100,,40
Beam,ISMB,ISMB225,225,112,,45
Beam,ISMB,ISMB250,250,125,,50
Beam,ISMB,ISMB275,275,137,,55
Beam,ISMB,ISMB300,300,150,,60
Beam,ISMB,ISMB325,325,162,,65
Beam,ISMB,ISMB350,350,175,,70
Beam,ISMB,ISMB375,375,187,,75
Beam,ISMB,ISMB400,400,200,,80
Beam,ISMB,ISMB425,425,212,,85
Beam,ISMB,ISMB450,450,225,,90
Beam,ISMB,ISMB475,475,237,,95
Beam,ISMB,ISMB500,500,250,,100
Beam,ISMB,ISMB525,525,262,,105
Beam,ISMB,ISMB550,550,275,,110
Beam,ISMB,ISMB575,575,287,,115
Beam,ISMB,ISMB600,600,300,,120
Beam,ISMB,ISMB625,625,312,,125
Channel,ISMC,ISMC75,75,30,,13.5
Channel,ISMC,ISMC100,100,40,,18
Channel,ISMC,ISMC125,125,50,,22.5
Channel,ISMC,ISMC150,150,60,,27
Channel,ISMC,ISMC175,175,70,,31.5
Channel,ISMC,ISMC200,200,80,,36
Channel,ISMC,ISMC225,225,90,,40.5
Channel,ISMC,ISMC250,250,100,,45
Channel,ISMC,ISMC275,275,110,,49.5
Channel,ISMC,ISMC300,300,120,,54
Channel,ISMC,ISMC325,325,130,,58.5
Channel,ISMC,ISMC350,350,140,,63
Channel,ISMC,ISMC375,375,150,,67.5
Channel,ISMC,ISMC400,400,160,,72
Angle,ISA_Equal,ISA25x25x3,25,25,3,1.18
Angle,ISA_Equal,ISA25x25x4,25,25,4,1.57
Angle,ISA_Equal,ISA25x25x5,25,25,5,1.96
Angle,ISA_Equal,ISA25x25x6,25,25,6,2.35
Angle,ISA_Equal,ISA25x25x8,25,25,8,3.14
Angle,ISA_Equal,ISA25x25x10,25,25,10,3.92
Angle,ISA_Equal,ISA25x25x12,25,25,12,4.71
Angle,ISA_Equal,ISA30x30x3,30,30,3,1.41
Angle,ISA_Equal,ISA30x30x4,30,30,4,1.88
Angle,ISA_Equal,ISA30x30x5,30,30,5,2.35
Angle,ISA_Equal,ISA30x30x6,30,30,6,2.83
Angle,ISA_Equal,ISA30x30x8,30,30,8,3.77
Angle,ISA_Equal,ISA30x30x10,30,30,10,4.71
Angle,ISA_Equal,ISA30x30x12,30,30,12,5.65
Angle,ISA_Equal,ISA35x35x3,35,35,3,1.65
Angle,ISA_Equal,ISA35x35x4,35,35,4,2.2
Angle,ISA_Equal,ISA35x35x5,35,35,5,2.75
Angle,ISA_Equal,ISA35x35x6,35,35,6,3.3
Angle,ISA_Equal,ISA35x35x8,35,35,8,4.4
Angle,ISA_Equal,ISA35x35x10,35,35,10,5.49
Angle,ISA_Equal,ISA35x35x12,35,35,12,6.59
Angle,ISA_Equal,ISA40x40x3,40,40,3,1.88
Angle,ISA_Equal,ISA40x40x4,40,40,4,2.51
Angle,ISA_Equal,ISA40x40x5,40,40,5,3.14
Angle,ISA_Equal,ISA40x40x6,40,40,6,3.77
Angle,ISA_Equal,ISA40x40x8,40,40,8,5.02
Angle,ISA_Equal,ISA40x40x10,40,40,10,6.28
Angle,ISA_Equal,ISA40x40x12,40,40,12,7.54
Angle,ISA_Equal,ISA45x45x3,45,45,3,2.12
Angle,ISA_Equal,ISA45x45x4,45,45,4,2.83
Angle,ISA_Equal,ISA45x45x5,45,45,5,3.53
Angle,ISA_Equal,ISA45x45x6,45,45,6,4.24
Angle,ISA_Equal,ISA45x45x8,45,45,8,5.65
Angle,ISA_Equal,ISA45x45x10,45,45,10,7.06
Angle,ISA_Equal,ISA45x45x12,45,45,12,8.48
Angle,ISA_Equal,ISA50x50x3,50,50,3,2.35
Angle,ISA_Equal,ISA50x50x4,50,50,4,3.14
Angle,ISA_Equal,ISA50x50x5,50,50,5,3.92
Angle,ISA_Equal,ISA50x50x6,50,50,6,4.71
Angle,ISA_Equal,ISA50x50x8,50,50,8,6.28
Angle,ISA_Equal,ISA50x50x10,50,50,10,7.85
Angle,ISA_Equal,ISA50x50x12,50,50,12,9.42
Angle,ISA_Equal,ISA55x55x3,55,55,3,2.59
Angle,ISA_Equal,ISA55x55x4,55,55,4,3.45
Angle,ISA_Equal,ISA55x55x5,55,55,5,4.32
Angle,ISA_Equal,ISA55x55x6,55,55,6,5.18
Angle,ISA_Equal,ISA55x55x8,55,55,8,6.91
Angle,ISA_Equal,ISA55x55x10,55,55,10,8.63
Angle,ISA_Equal,ISA55x55x12,55,55,12,10.36
Angle,ISA_Equal,ISA60x60x3,60,60,3,2.83
Angle,ISA_Equal,ISA60x60x4,60,60,4,3.77
Angle,ISA_Equal,ISA60x60x5,60,60,5,4.71
Angle,ISA_Equal,ISA60x60x6,60,60,6,5.65
Angle,ISA_Equal,ISA60x60x8,60,60,8,7.54
Angle,ISA_Equal,ISA60x60x10,60,60,10,9.42
Angle,ISA_Equal,ISA60x60x12,60,60,12,11.3
Angle,ISA_Equal,ISA65x65x3,65,65,3,3.06
Angle,ISA_Equal,ISA65x65x4,65,65,4,4.08
Angle,ISA_Equal,ISA65x65x5,65,65,5,5.1
Angle,ISA_Equal,ISA65x65x6,65,65,6,6.12
Angle,ISA_Equal,ISA65x65x8,65,65,8,8.16
Angle,ISA_Equal,ISA65x65x10,65,65,10,10.2
Angle,ISA_Equal,ISA65x65x12,65,65,12,12.25
Angle,ISA_Equal,ISA70x70x3,70,70,3,3.3
Angle,ISA_Equal,ISA70x70x4,70,70,4,4.4
Angle,ISA_Equal,ISA70x70x5,70,70,5,5.49
Angle,ISA_Equal,ISA70x70x6,70,70,6,6.59
Angle,ISA_Equal,ISA70x70x8,70,70,8,8.79
Angle,ISA_Equal,ISA70x70x10,70,70,10,10.99
Angle,ISA_Equal,ISA70x70x12,70,70,12,13.19
Angle,ISA_Equal,ISA75x75x3,75,75,3,3.53
Angle,ISA_Equal,ISA75x75x4,75,75,4,4.71
Angle,ISA_Equal,ISA75x75x5,75,75,5,5.89
Angle,ISA_Equal,ISA75x75x6,75,75,6,7.06
Angle,ISA_Equal,ISA75x75x8,75,75,8,9.42
Angle,ISA_Equal,ISA75x75x10,75,75,10,11.77
Angle,ISA_Equal,ISA75x75x12,75,75,12,14.13
Angle,ISA_Equal,ISA80x80x3,80,80,3,3.77
Angle,ISA_Equal,ISA80x80x4,80,80,4,5.02
Angle,ISA_Equal,ISA80x80x5,80,80,5,6.28
Angle,ISA_Equal,ISA80x80x6,80,80,6,7.54
Angle,ISA_Equal,ISA80x80x8,80,80,8,10.05
Angle,ISA_Equal,ISA80x80x10,80,80,10,12.56
Angle,ISA_Equal,ISA80x80x12,80,80,12,15.07
Angle,ISA_Equal,ISA85x85x3,85,85,3,4
Angle,ISA_Equal,ISA85x85x4,85,85,4,5.34
Angle,ISA_Equal,ISA85x85x5,85,85,5,6.67
Angle,ISA_Equal,ISA85x85x6,85,85,6,8.01
Angle,ISA_Equal,ISA85x85x8,85,85,8,10.68
Angle,ISA_Equal,ISA85x85x10,85,85,10,13.34
Angle,ISA_Equal,ISA85x85x12,85,85,12,16.01
Angle,ISA_Equal,ISA90x90x3,90,90,3,4.24
Angle,ISA_Equal,ISA90x90x4,90,90,4,5.65
Angle,ISA_Equal,ISA90x90x5,90,90,5,7.06
Angle,ISA_Equal,ISA90x90x6,90,90,6,8.48
Angle,ISA_Equal,ISA90x90x8,90,90,8,11.3
Angle,ISA_Equal,ISA90x90x10,90,90,10,14.13
Angle,ISA_Equal,ISA90x90x12,90,90,12,16.96
Angle,ISA_Equal,ISA95x95x3,95,95,3,4.47
Angle,ISA_Equal,ISA95x95x4,95,95,4,5.97
Angle,ISA_Equal,ISA95x95x5,95,95,5,7.46
Angle,ISA_Equal,ISA95x95x6,95,95,6,8.95
Angle,ISA_Equal,ISA95x95x8,95,95,8,11.93
Angle,ISA_Equal,ISA95x95x10,95,95,10,14.91
Angle,ISA_Equal,ISA95x95x12,95,95,12,17.9
Angle,ISA_Equal,ISA100x100x3,100,100,3,4.71
Angle,ISA_Equal,ISA100x100x4,100,100,4,6.28
Angle,ISA_Equal,ISA100x100x5,100,100,5,7.85
Angle,ISA_Equal,ISA100x100x6,100,100,6,9.42
Angle,ISA_Equal,ISA100x100x8,100,100,8,12.56
Angle,ISA_Equal,ISA100x100x10,100,100,10,15.7
Angle,ISA_Equal,ISA100x100x12,100,100,12,18.84
Angle,ISA_Equal,ISA105x105x3,105,105,3,4.95
Angle,ISA_Equal,ISA105x105x4,105,105,4,6.59
Angle,ISA_Equal,ISA105x105x5,105,105,5,8.24
Angle,ISA_Equal,ISA105x105x6,105,105,6,9.89
Angle,ISA_Equal,ISA105x105x8,105,105,8,13.19
Angle,ISA_Equal,ISA105x105x10,105,105,10,16.48
Angle,ISA_Equal,ISA105x105x12,105,105,12,19.78
Angle,ISA_Equal,ISA110x110x3,110,110,3,5.18
Angle,ISA_Equal,ISA110x110x4,110,110,4,6.91
Angle,ISA_Equal,ISA110x110x5,110,110,5,8.63
Angle,ISA_Equal,ISA110x110x6,110,110,6,10.36
Angle,ISA_Equal,ISA110x110x8,110,110,8,13.82
Angle,ISA_Equal,ISA110x110x10,110,110,10,17.27
Angle,ISA_Equal,ISA110x110x12,110,110,12,20.72
Angle,ISA_Equal,ISA115x115x3,115,115,3,5.42
Angle,ISA_Equal,ISA115x115x4,115,115,4,7.22
Angle,ISA_Equal,ISA115x115x5,115,115,5,9.03
Angle,ISA_Equal,ISA115x115x6,115,115,6,10.83
Angle,ISA_Equal,ISA115x115x8,115,115,8,14.44
Angle,ISA_Equal,ISA115x115x10,115,115,10,18.05
Angle,ISA_Equal,ISA115x115x12,115,115,12,21.67
Angle,ISA_Equal,ISA120x120x3,120,120,3,5.65
Angle,ISA_Equal,ISA120x120x4,120,120,4,7.54
Angle,ISA_Equal,ISA120x120x5,120,120,5,9.42
Angle,ISA_Equal,ISA120x120x6,120,120,6,11.3
Angle,ISA_Equal,ISA120x120x8,120,120,8,15.07
Angle,ISA_Equal,ISA120x120x10,120,120,10,18.84
Angle,ISA_Equal,ISA120x120x12,120,120,12,22.61
Angle,ISA_Equal,ISA125x125x3,125,125,3,5.89
Angle,ISA_Equal,ISA125x125x4,125,125,4,7.85
Angle,ISA_Equal,ISA125x125x5,125,125,5,9.81
Angle,ISA_Equal,ISA125x125x6,125,125,6,11.77
Angle,ISA_Equal,ISA125x125x8,125,125,8,15.7
Angle,ISA_Equal,ISA125x125x10,125,125,10,19.62
Angle,ISA_Equal,ISA125x125x12,125,125,12,23.55
Angle,ISA_Equal,ISA130x130x3,130,130,3,6.12
Angle,ISA_Equal,ISA130x130x4,130,130,4,8.16
Angle,ISA_Equal,ISA130x130x5,130,130,5,10.2
Angle,ISA_Equal,ISA130x130x6,130,130,6,12.25
Angle,ISA_Equal,ISA130x130x8,130,130,8,16.33
Angle,ISA_Equal,ISA130x130x10,130,130,10,20.41
Angle,ISA_Equal,ISA130x130x12,130,130,12,24.49
Angle,ISA_Equal,ISA135x135x3,135,135,3,6.36
Angle,ISA_Equal,ISA135x135x4,135,135,4,8.48
Angle,ISA_Equal,ISA135x135x5,135,135,5,10.6
Angle,ISA_Equal,ISA135x135x6,135,135,6,12.72
Angle,ISA_Equal,ISA135x135x8,135,135,8,16.96
Angle,ISA_Equal,ISA135x135x10,135,135,10,21.19
Angle,ISA_Equal,ISA135x135x12,135,135,12,25.43
Angle,ISA_Equal,ISA140x140x3,140,140,3,6.59
Angle,ISA_Equal,ISA140x140x4,140,140,4,8.79
Angle,ISA_Equal,ISA140x140x5,140,140,5,10.99
Angle,ISA_Equal,ISA140x140x6,140,140,6,13.19
Angle,ISA_Equal,ISA140x140x8,140,140,8,17.58
Angle,ISA_Equal,ISA140x140x10,140,140,10,21.98
Angle,ISA_Equal,ISA140x140x12,140,140,12,26.38
Angle,ISA_Equal,ISA145x145x3,145,145,3,6.83
Angle,ISA_Equal,ISA145x145x4,145,145,4,9.11
Angle,ISA_Equal,ISA145x145x5,145,145,5,11.38
Angle,ISA_Equal,ISA145x145x6,145,145,6,13.66
Angle,ISA_Equal,ISA145x145x8,145,145,8,18.21
Angle,ISA_Equal,ISA145x145x10,145,145,10,22.76
Angle,ISA_Equal,ISA145x145x12,145,145,12,27.32
Angle,ISA_Equal,ISA150x150x3,150,150,3,7.06
Angle,ISA_Equal,ISA150x150x4,150,150,4,9.42
Angle,ISA_Equal,ISA150x150x5,150,150,5,11.77
Angle,ISA_Equal,ISA150x150x6,150,150,6,14.13
Angle,ISA_Equal,ISA150x150x8,150,150,8,18.84
Angle,ISA_Equal,ISA150x150x10,150,150,10,23.55
Angle,ISA_Equal,ISA150x150x12,150,150,12,28.26
Angle,ISA_Equal,ISA155x155x3,155,155,3,7.3
Angle,ISA_Equal,ISA155x155x4,155,155,4,9.73
Angle,ISA_Equal,ISA155x155x5,155,155,5,12.17
Angle,ISA_Equal,ISA155x155x6,155,155,6,14.6
Angle,ISA_Equal,ISA155x155x8,155,155,8,19.47
Angle,ISA_Equal,ISA155x155x10,155,155,10,24.33
Angle,ISA_Equal,ISA155x155x12,155,155,12,29.2
Angle,ISA_Equal,ISA160x160x3,160,160,3,7.54
Angle,ISA_Equal,ISA160x160x4,160,160,4,10.05
Angle,ISA_Equal,ISA160x160x5,160,160,5,12.56
Angle,ISA_Equal,ISA160x160x6,160,160,6,15.07
Angle,ISA_Equal,ISA160x160x8,160,160,8,20.1
Angle,ISA_Equal,ISA160x160x10,160,160,10,25.12
Angle,ISA_Equal,ISA160x160x12,160,160,12,30.14
Angle,ISA_Equal,ISA165x165x3,165,165,3,7.77
Angle,ISA_Equal,ISA165x165x4,165,165,4,10.36
Angle,ISA_Equal,ISA165x165x5,165,165,5,12.95
Angle,ISA_Equal,ISA165x165x6,165,165,6,15.54
Angle,ISA_Equal,ISA165x165x8,165,165,8,20.72
Angle,ISA_Equal,ISA165x165x10,165,165,10,25.9
Angle,ISA_Equal,ISA165x165x12,165,165,12,31.09
Angle,ISA_Equal,ISA170x170x3,170,170,3,8.01
Angle,ISA_Equal,ISA170x170x4,170,170,4,10.68
Angle,ISA_Equal,ISA170x170x5,170,170,5,13.34
Angle,ISA_Equal,ISA170x170x6,170,170,6,16.01
Angle,ISA_Equal,ISA170x170x8,170,170,8,21.35
Angle,ISA_Equal,ISA170x170x10,170,170,10,26.69
